norm,total_count,n_variants,canonical_suggested,variants,has_accent_variant,has_unaccent_variant
humanos,1,1,humanos,humanos(1),False,True
implementacion,1,1,implementación,implementación(1),True,False
importantes,1,1,importantes,importantes(1),False,True
indroduccion,1,1,indroducción,indroducción(1),True,False
industria,1,1,industria,industria(1),False,True
informaticas,1,1,informáticas,informáticas(1),True,False
ingles,1,1,inglés,inglés(1),True,False
iniguez,1,1,iñiguez,iñiguez(1),True,False
instrumentaciones,1,1,instrumentaciones,instrumentaciones(1),False,True
instrumentos,1,1,instrumentos,instrumentos(1),False,True
inteligente,1,1,inteligente,inteligente(1),False,True
interactivos,1,1,interactivos,interactivos(1),False,True
interesantes,1,1,interesantes,interesantes(1),False,True
interesaron,1,1,interesaron,interesaron(1),False,True
interfaces,1,1,interfaces,interfaces(1),False,True
interna,1,1,interna,interna(1),False,True
internet,1,1,internet,internet(1),False,True
inventarios,1,1,inventarios,inventarios(1),False,True
investigacion,1,1,investigación,investigación(1),True,False
java,1,1,java,java(1),False,True
laborales,1,1,laborales,laborales(1),False,True
lagrangiana,1,1,lagrangiana,lagrangiana(1),False,True
leyes,1,1,leyes,leyes(1),False,True
liderazgo,1,1,liderazgo,liderazgo(1),False,True
lineas,1,1,lineas,lineas(1),False,True
lo,1,1,lo,lo(1),False,True
local,1,1,local,local(1),False,True
lugar,1,1,lugar,lugar(1),False,True
m,1,1,m,m(1),False,True
macro,1,1,macro,macro(1),False,True
macroecomia,1,1,macroecomia,macroecomia(1),False,True
manejo,1,1,manejo,manejo(1),False,True
manera,1,1,manera,manera(1),False,True
mapas,1,1,mapas,mapas(1),False,True
maquinarias,1,1,maquinarias,maquinarias(1),False,True
matching,1,1,matching,matching(1),False,True
matematico,1,1,matemático,matemático(1),True,False
materials,1,1,materials,materials(1),False,True
mci,1,1,mci,mci(1),False,True
me,1,1,me,me(1),False,True
mecanismos,1,1,mecánismos,mecánismos(1),True,False
medida,1,1,medida,medida(1),False,True
mejor,1,1,mejor,mejor(1),False,True
mercadotecnia,1,1,mercadotecnia,mercadotecnia(1),False,True
metalogenia,1,1,metalogenia,metalogenia(1),False,True
meteorologia,1,1,meteorología,meteorología(1),True,False
metereologia,1,1,metereologia,metereologia(1),False,True
metodologia,1,1,metodología,metodología(1),True,False
microprocesadores,1,1,microprocesadores,microprocesadores(1),False,True
microtectonica,1,1,microtectónica,microtectónica(1),True,False
mis,1,1,mis,mis(1),False,True
modelados,1,1,modelados,modelados(1),False,True
motores,1,1,motores,motores(1),False,True
multivariate,1,1,multivariate,multivariate(1),False,True
muros,1,1,muros,muros(1),False,True
muy,1,1,muy,muy(1),False,True
nada,1,1,nada,nada(1),False,True
naranjo,1,1,naranjo,naranjo(1),False,True
natural,1,1,natural,natural(1),False,True
necesarias,1,1,necesarias,necesarias(1),False,True
neumatico,1,1,neumático,neumático(1),True,False
newtoniana,1,1,newtoniana,newtoniana(1),False,True
ninguna,1,1,ninguna,ninguna(1),False,True
normativas,1,1,normativas,normativas(1),False,True
nuclear,1,1,nuclear,nuclear(1),False,True
nuevos,1,1,nuevos,nuevos(1),False,True
obligatoria,1,1,obligatoria,obligatoria(1),False,True
obsoleto,1,1,obsoleto,obsoleto(1),False,True
ondas,1,1,ondas,ondas(1),False,True
oral,1,1,oral,oral(1),False,True
organica,1,1,orgánica,orgánica(1),True,False
organizaciones,1,1,organizaciones,organizaciones(1),False,True
paquetes,1,1,paquetes,paquetes(1),False,True
parte,1,1,parte,parte(1),False,True
particulas,1,1,partículas,partículas(1),True,False
pasado,1,1,pasado,pasado(1),False,True
pavimentos,1,1,pavimentos,pavimentos(1),False,True
paz,1,1,paz,paz(1),False,True
perforacion,1,1,perforación,perforación(1),True,False
petrologias,1,1,petrologias,petrologias(1),False,True
polimeros,1,1,polímeros,polímeros(1),True,False
porque,1,1,porque,porque(1),False,True
porticos,1,1,pórticos,pórticos(1),True,False
practicas,1,1,prácticas,prácticas(1),True,False
preservacion,1,1,preservación,preservación(1),True,False
presupuestaria,1,1,presupuestaria,presupuestaria(1),False,True
problemas,1,1,problemas,problemas(1),False,True
procesamiento,1,1,procesamiento,procesamiento(1),False,True
proceso,1,1,proceso,proceso(1),False,True
profesionalismo,1,1,profesionalismo,profesionalismo(1),False,True
programacioni,1,1,programacioni,programacioni(1),False,True
programacionorientada,1,1,programacionorientada,programacionorientada(1),False,True
proporcionaron,1,1,proporcionaron,proporcionaron(1),False,True
proyecto,1,1,proyecto,proyecto(1),False,True
q,1,1,q,q(1),False,True
quinas,1,1,quinas,quinas(1),False,True
quitaron,1,1,quitaron,quitaron(1),False,True
reacciones,1,1,reacciones,reacciones(1),False,True
reacion,1,1,reación,reación(1),True,False
real,1,1,real,real(1),False,True
recuros,1,1,recuros,recuros(1),False,True
red,1,1,red,red(1),False,True
registros,1,1,registros,registros(1),False,True
regularizacion,1,1,regularización,regularización(1),True,False
relevantes,1,1,relevantes,relevantes(1),False,True
remediacion,1,1,remediación,remediación(1),True,False
requisitos,1,1,requisitos,requisitos(1),False,True
residual,1,1,residual,residual(1),False,True
rf,1,1,rf,rf(1),False,True
rosita,1,1,rosita,rosita(1),False,True
sancehz,1,1,sancehz,sancehz(1),False,True
sandra,1,1,sandra,sandra(1),False,True
saneamiento,1,1,saneamiento,saneamiento(1),False,True
satos,1,1,satos,satos(1),False,True
sea,1,1,sea,sea(1),False,True
sedimenatarias,1,1,sedimenatarias,sedimenatarias(1),False,True
sedimentarias,1,1,sedimentarias,sedimentarias(1),False,True
sedimentologia,1,1,sedimentología,sedimentología(1),True,False
seguridades,1,1,seguridades,seguridades(1),False,True
seguriodad,1,1,seguriodad,seguriodad(1),False,True
semestre,1,1,semestre,semestre(1),False,True
sensores,1,1,sensores,sensores(1),False,True
sido,1,1,sido,sido(1),False,True
siglo,1,1,siglo,siglo(1),False,True
sin,1,1,sin,sin(1),False,True
sirven,1,1,sirven,sirven(1),False,True
sofware,1,1,sofware,sofware(1),False,True
soldaduda,1,1,soldaduda,soldaduda(1),False,True
son,1,1,son,son(1),False,True
subterranes,1,1,subterranes,subterranes(1),False,True
suminstro,1,1,suminstro,suminstro(1),False,True
talento,1,1,talento,talento(1),False,True
tecnico,1,1,técnico,técnico(1),True,False
tecnologiasinformacion,1,1,tecnologiasinformacion,tecnologiasinformacion(1),False,True
temodinamica,1,1,temodinamica,temodinamica(1),False,True
tencion,1,1,tención,tención(1),True,False
tension,1,1,tension,tension(1),False,True
termica,1,1,térmica,térmica(1),True,False
tic,1,1,tic,tic(1),False,True
to,1,1,to,to(1),False,True
toxicologia,1,1,toxicología,toxicología(1),True,False
transductores,1,1,transductores,transductores(1),False,True
transferencias,1,1,transferencias,transferencias(1),False,True
transporte,1,1,transporte,transporte(1),False,True
trasmision,1,1,trasmision,trasmision(1),False,True
trasnferencia,1,1,trasnferencia,trasnferencia(1),False,True
tratamientos,1,1,tratamientos,tratamientos(1),False,True
u,1,1,u,u(1),False,True
ultimos,1,1,últimos,últimos(1),True,False
underrated,1,1,underrated,underrated(1),False,True
unicos,1,1,únicos,únicos(1),True,False
unidad,1,1,unidad,unidad(1),False,True
unirse,1,1,unirse,unirse(1),False,True
utiles,1,1,útiles,útiles(1),True,False
variables,1,1,variables,variables(1),False,True
varias,1,1,varias,varias(1),False,True
ventilacion,1,1,ventilación,ventilación(1),True,False
vibraciones,1,1,vibraciones,vibraciones(1),False,True
videojuegos,1,1,videojuegos,videojuegos(1),False,True
vision,1,1,visión,visión(1),True,False
vulcanologia,1,1,vulcanologia,vulcanologia(1),False,True
webs,1,1,webs,webs(1),False,True
ya,1,1,ya,ya(1),False,True
