norm,total_count,n_variants,canonical_suggested,variants,has_accent_variant,has_unaccent_variant
computacionales,16,1,computacionales,computacionales(16),False,True
costos,16,1,costos,costos(16),False,True
financiera,16,1,financiera,financiera(16),False,True
objetos,16,1,objetos,objetos(16),False,True
construccion,15,1,construcción,construcción(15),True,False
finanzas,15,1,finanzas,finanzas(15),False,True
fundamentos,15,1,fundamentos,fundamentos(15),False,True
operativos,15,1,operativos,operativos(15),False,True
orientada,15,1,orientada,orientada(15),False,True
plantas,15,1,plantas,plantas(15),False,True
plcs,15,1,plcs,plcs(15),False,True
residuos,15,1,residuos,residuos(15),False,True
instalaciones,14,1,instalaciones,instalaciones(14),False,True
con,13,1,con,con(13),False,True
e,13,1,e,e(13),False,True
hci,13,1,hci,hci(13),False,True
humano,13,1,humano,humano(13),False,True
las,13,1,las,las(13),False,True
cadena,12,1,cadena,cadena(12),False,True
ciencia,12,1,ciencia,ciencia(12),False,True
dibujo,12,1,dibujo,dibujo(12),False,True
geologia,12,1,geología,geología(12),True,False
sep,12,1,sep,sep(12),False,True
computador,11,1,computador,computador(11),False,True
comunicaciones,11,1,comunicaciones,comunicaciones(11),False,True
desgaste,11,1,desgaste,desgaste(11),False,True
falla,11,1,falla,falla(11),False,True
suministro,11,1,suministro,suministro(11),False,True
automatico,10,1,automático,automático(10),True,False
base,10,1,base,base(10),False,True
no,10,1,no,no(10),False,True
peligrosos,10,1,peligrosos,peligrosos(10),False,True
todas,10,1,todas,todas(10),False,True
tratamiento,10,1,tratamiento,tratamiento(10),False,True
aguas,9,1,aguas,aguas(9),False,True
algoritmos,9,1,algoritmos,algoritmos(9),False,True
basica,9,1,básica,básica(9),True,False
cloud,9,1,cloud,cloud(9),False,True
cuantica,9,1,cuántica,cuántica(9),True,False
electricidad,9,1,electricidad,electricidad(9),False,True
embebidos,9,1,embebidos,embebidos(9),False,True
hmi,9,1,hmi,hmi(9),False,True
impacto,9,1,impacto,impacto(9),False,True
introduccion,9,1,introducción,introducción(9),True,False
iot,9,1,iot,iot(9),False,True
probabilidad,9,1,probabilidad,probabilidad(9),False,True
residuales,9,1,residuales,residuales(9),False,True
riesgo,9,1,riesgo,riesgo(9),False,True
validacion,9,1,validación,validación(9),True,False
verificacion,9,1,verificación,verificación(9),True,False
voltaje,9,1,voltaje,voltaje(9),False,True
acero,8,1,acero,acero(8),False,True
antenas,8,1,antenas,antenas(8),False,True
arquitectura,8,1,arquitectura,arquitectura(8),False,True
computing,8,1,computing,computing(8),False,True
elementos,8,1,elementos,elementos(8),False,True
ip,8,1,ip,ip(8),False,True
learning,8,1,learning,learning(8),False,True
mantenimiento,8,1,mantenimiento,mantenimiento(8),False,True
modelos,8,1,modelos,modelos(8),False,True
opticas,8,1,ópticas,ópticas(8),True,False
potabilizacion,8,1,potabilización,potabilización(8),True,False
protecciones,8,1,protecciones,protecciones(8),False,True
requerimientos,8,1,requerimientos,requerimientos(8),False,True
scada,8,1,scada,scada(8),False,True
seguro,8,1,seguro,seguro(8),False,True
simulacion,8,1,simulación,simulación(8),True,False
tcp,8,1,tcp,tcp(8),False,True
telecomunicaciones,8,1,telecomunicaciones,telecomunicaciones(8),False,True
yacimientos,8,1,yacimientos,yacimientos(8),False,True
aire,7,1,aire,aire(7),False,True
alimentos,7,1,alimentos,alimentos(7),False,True
avanzada,7,1,avanzada,avanzada(7),False,True
celulares,7,1,celulares,celulares(7),False,True
destructivos,7,1,destructivos,destructivos(7),False,True
el,7,1,el,el(7),False,True
ensayos,7,1,ensayos,ensayos(7),False,True
estructura,7,1,estructura,estructura(7),False,True
intranets,7,1,intranets,intranets(7),False,True
lan,7,1,lan,lan(7),False,True
machine,7,1,machine,machine(7),False,True
multivariante,7,1,multivariante,multivariante(7),False,True
ocupacional,7,1,ocupacional,ocupacional(7),False,True
para,7,1,para,para(7),False,True
planas,7,1,planas,planas(7),False,True
poo,7,1,poo,poo(7),False,True
salud,7,1,salud,salud(7),False,True
series,7,1,series,series(7),False,True
soldadura,7,1,soldadura,soldadura(7),False,True
temporales,7,1,temporales,temporales(7),False,True
cam,6,1,cam,cam(6),False,True
centrales,6,1,centrales,centrales(6),False,True
civiles,6,1,civiles,civiles(6),False,True
computadoras,6,1,computadoras,computadoras(6),False,True
computadores,6,1,computadores,computadores(6),False,True
construcciones,6,1,construcciones,construcciones(6),False,True
corte,6,1,corte,corte(6),False,True
depuracion,6,1,depuración,depuración(6),True,False
digital,6,1,digital,digital(6),False,True
distribuidas,6,1,distribuidas,distribuidas(6),False,True
economia,6,1,economía,economía(6),True,False
electrica,6,1,eléctrica,eléctrica(6),True,False
energias,6,1,energías,energías(6),True,False
estabilidad,6,1,estabilidad,estabilidad(6),False,True
hidraulico,6,1,hidráulico,hidráulico(6),True,False
impactos,6,1,impactos,impactos(6),False,True
los,6,1,los,los(6),False,True
productivos,6,1,productivos,productivos(6),False,True
que,6,1,que,que(6),False,True
renovables,6,1,renovables,renovables(6),False,True
wan,6,1,wan,wan(6),False,True
ambientales,5,1,ambientales,ambientales(5),False,True
avanzadas,5,1,avanzadas,avanzadas(5),False,True
caracterizacion,5,1,caracterización,caracterización(5),True,False
contaminacion,5,1,contaminación,contaminación(5),True,False
ecuador,5,1,ecuador,ecuador(5),False,True
estructural,5,1,estructural,estructural(5),False,True
general,5,1,general,general(5),False,True
hacking,5,1,hacking,hacking(5),False,True
ia,5,1,ia,ia(5),False,True
ing,5,1,ing,ing(5),False,True
instrumental,5,1,instrumental,instrumental(5),False,True
mecanicos,5,1,mecánicos,mecánicos(5),True,False
medio,5,1,medio,medio(5),False,True
microeconomia,5,1,microeconomía,microeconomía(5),True,False
optimizacion,5,1,optimización,optimización(5),True,False
organizacional,5,1,organizacional,organizacional(5),False,True
potable,5,1,potable,potable(5),False,True
resistencia,5,1,resistencia,resistencia(5),False,True
suelo,5,1,suelo,suelo(5),False,True
vigas,5,1,vigas,vigas(5),False,True
abastecimiento,4,1,abastecimiento,abastecimiento(4),False,True
aceros,4,1,aceros,aceros(4),False,True
acotados,4,1,acotados,acotados(4),False,True
actuarial,4,1,actuarial,actuarial(4),False,True
