dataset,model,split,cv_cindex_mean,cv_cindex_std,test_cindex,best_iter_cv_median,best_iter_test,device
A,XGB-AFT,S1_random,0.6769405422946696,0.06814845435155645,0.6115044247787611,338,138,cuda
A,XGB-AFT,S2_strat_event,0.6475223297128996,0.046509837628022695,0.662051282051282,788,609,cuda
A,XGB-AFT,S3_strat_carrera,0.6495744829993093,0.04404176334130135,0.6417758122129614,589,752,cuda
B,XGB-AFT,S1_random,0.6742170061724597,0.06989980950698603,0.6033789219629928,667,320,cuda
B,XGB-AFT,S2_strat_event,0.6593908325938305,0.055780915604954164,0.6417094017094017,206,109,cuda
B,XGB-AFT,S3_strat_carrera,0.6474035101275548,0.03765630174539414,0.6397346487497874,648,1051,cuda
