,Edad,Genero,3. Evaluación de Habilidades Blandas,S5_Gestion_Proyectos,S1_Comunicacion_Esp,RAW_Jul_Liderazgo,RAW_Jul_Equipo,S2_Compromiso_Etico,S4_Resp_Social,S6_Aprendizaje_Digital,4. Inserción Laboral,TARGET_Evento,4.1.2 País:,4.1.3 ¿A qué tipo pertenece la institución en la que laboras?,4.1.4 Modalidad de trabajo:,TARGET_Tiempo,"4.1.6 En una escala del 1 al 4 donde 1 es totalmente sin relación, y 4 es totalmente con relación ¿Cómo calificas la correspondencia entre tu formación académica y tu trabajo actual?",4.1.7 ¿Consideras que la formación académica ha contribuido a un mejor desempeño en tu vida profesional / laboral?,"4.1.8 ¿Consideras que la formación en habilidades blandas (gestión, comunicación efectiva, liderazgo, trabajo en equipo, ética profesional, responsabilidad social, aprendizaje autónomo) recibida en la EPN fue suficiente para enfrentar los desafíos del entorno laboral?",UTILIDAD_S5_Gestion,UTILIDAD_S1_Comunicacion,TEMP_UTIL_Lid,TEMP_UTIL_Equ,UTILIDAD_S2_Etica,UTILIDAD_S4_Resp_Social,UTILIDAD_S6_Aprendizaje_Digital,4.1.9 ¿Qué habilidades blandas sientes que más te ayudaron en tu inserción laboral? [Todas las anteriores],4.1.9 ¿Qué habilidades blandas sientes que más te ayudaron en tu inserción laboral? [Otro],4.1.10 ¿Consideras que las prácticas preprofesionales y pasantías han contribuido a un mejor desempeño en tu vida profesional / laboral?,4.1.11 Rango salarial mensual (USD):,4.1.12 ¿Estas actualmente buscando trabajo?,4.1.13 ¿Por cuanto tiempo has estado buscando trabajo?,4.1.14 ¿Ha identificado alguna brecha o déficit en su formación académica que considere ha dificultado su inserción laboral?,TXT_Brecha_Formacion,4.2 ¿Conoces o has utilizado la Bolsa de Empleo de la EPN?,TXT_Hard_Skills,"6.2 ¿Qué temas/áreas/contenido consideras que debieron incluirse en tu proceso de formación? Para completar esta pregunta realizarlo separando por comas: Ejemplo: Importancia de las buenas prácticas de TICS, TICS, Cobit",6.3 ¿Qué recomendaciones darías para mejorar la formación en tu carrera?,6.4 ¿Qué habilidades blandas crees que debieron ser fortalecidas mejor durante tu formación?,"6.5 Si pudieras agregar una habilidad blanda a tu formación académica, ¿cuál sería y cómo la aplicarías en tu carrera profesional?",carrera,anioGraduacion,S3_Trabajo_Equipo_Liderazgo,S7_Ingles,UTILIDAD_S3_Trabajo_Equipo_Liderazgo,Cohorte,4.1.1 Institución/Empresa donde trabajas:,6. Retroalimentación Abierta,T_Lower,T_Upper,Event,Facultad,TARGET_Evento_Num,carrera_homologada,Utilidad_HB_Promedio,Edad_raw,Edad_in_scope,Edad_model,Edad_model_imputed,Edad_oos_flag
173,24,Masculino,,2.0,2.0,3.0,2.0,4.0,3.0,5.0,,No,,,,,,,,,,0,0,,,,,,,,Si,Menos de 6 meses,Sí,"La carrera suponia tener un componente de analisis de datos y programacion competentes, todo lo contrario, aprendí lenguajes muertos y que se usaban en los 80. He tenido que tomar otros cursos y aprender por mi cuenta. Ni siquiera manejo de versiones de códigos con git me enseñaron",c) No la conozco,"Programacion, sistemas complejos","Programacion en python, manejo de versiones, gestores de bases de datos y big data",Replantear las materias computacionales y enlazar los temas a dictar con lo que se maneja actualmente en la industria e investigación. Nada de wolfram o C,Relaciones Sociales,"Relaciones sociales, inteligencia emocional",(RRA20) FÍSICA,2025,2.5,2.0,0,Julio,,,6.0,inf,0.0,FC (Ciencias),0,(RRA20) FÍSICA,0.0,24,1,24.0,24.0,0
174,24,Femenino,,3.0,3.0,3.0,3.0,4.0,3.0,3.0,,Si,Ecuador,Emprendimiento propio,Freelance / Por horas,Menos de 6 meses,3.0,Si,Parcialmente,No,No,0,0,Sí,No,Sí,No,,No,Hasta $460,,,,,"b) Sí, pero no la he utilizado","Diseño de proyectos estructurales, diseño de proyectos hidráulicos, fiscalización en la construcción, costos en la construcción, topografía","Leyes municipales, obtención de datos para inicio de diseño, costos para diseño, leyes de terrenos","Tocar más a fondo temas relacionados con la práctica como ingeniero civil (ejem: procesos en municipio, obtención de permisos, procesos para legalizar construcciones, etc.), tratar temas de arquitectura para evitar tantos roces en el mundo laboral por desconocimiento",Trabajo en equipo,"Adaptabilidad, la ingeniería civil está ligada a muchas otras áreas y el desconocimiento hace que sea difícil arrancar un negocio propio",(RRA20) INGENIERÍA CIVIL,2025,3.0,3.0,1,Julio,,,4.0,6.0,1.0,FIC (Civil),1,(RRA20) INGENIERÍA CIVIL,0.0,24,1,24.0,24.0,0
175,23,Femenino,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,Si,Ecuador,Privado,Tiempo completo,Menos de 6 meses,4.0,Si,Si,Sí,No,1,0,No,Sí,Sí,No,,Si,De $461 a $1000,,,,,"a) Sí, la he utilizado para postularme a vacantes",GESTION POR PROCESOS,IA,MAS CONOCIMIENTOS EN IA,RESOLUCION DE PROBLEMAS,IA,(RRA20) INGENIERÍA DE LA PRODUCCIÓN,2025,5.0,5.0,1,Julio,,,4.0,6.0,1.0,FCA (Ciencias Admin.),1,(RRA20) INGENIERÍA DE LA PRODUCCIÓN,0.5,23,1,23.0,23.0,0
176,23,Masculino,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,No,,,,,,,,,,0,0,,,,,,,,Si,Menos de 6 meses,No estoy seguro/a,,c) No la conozco,"Suelos, hidráulicos",Dar importancia a las vías,Ejercicios de proyectos reales,Equipo,Trabajo en equipo,(RRA20) INGENIERÍA CIVIL,2025,5.0,5.0,0,Julio,,,6.0,inf,0.0,FIC (Civil),0,(RRA20) INGENIERÍA CIVIL,0.0,23,1,23.0,23.0,0
177,26,Masculino,,2.0,2.0,2.0,4.0,4.0,2.0,5.0,,Si,Ecuador,Privado,Tiempo completo,Menos de 6 meses,1.0,No,No,Sí,No,0,0,No,No,Sí,No,,Si,De $1001 a $1500,,,,,c) No la conozco,Inteligencia artificial y aprendizaje autónomo ; Desarrollo web; Bases de datos,TICS,Mejorar el plan curricular y el nivel de docencia,Comunicación efectiva,Comunicación efectiva: para compartir ideas de mejor manera con los Product Owners o Stakeholders,(RRA20) SOFTWARE,2025,3.0,2.0,1,Julio,,,4.0,6.0,1.0,FIS (Sistemas),1,(RRA20) SOFTWARE,0.0,26,1,26.0,26.0,0
178,24,Femenino,,4.0,2.0,4.0,4.0,4.0,4.0,4.0,,No,,,,,,,,,,0,0,,,,,,,,Si,Menos de 6 meses,Sí,Experiencia laboral,"a) Sí, la he utilizado para postularme a vacantes","Programación, Tecnologías de la Seguridad, Cloud Computing",Mantenimiento y Reparación de computadores,Conocimientos técnicos relacionados al campo laboral actual,Comunicación efectiva,"Comunicación efectiva, las relaciones interpersonales facilitarían el networking en mi carrera profesional",(RRA20) COMPUTACIÓN,2025,4.0,2.0,0,Julio,,,6.0,inf,0.0,FIS (Sistemas),0,(RRA20) COMPUTACIÓN,0.0,24,1,24.0,24.0,0
179,23,Masculino,,4.0,3.0,3.0,4.0,4.0,3.0,4.0,,Si,Ecuador,Privado,Tiempo completo,Menos de 6 meses,2.0,Si,Parcialmente,No,Sí,0,1,No,Sí,No,No,Mi propia responsabilidad,Si,De $461 a $1000,,,,,c) No la conozco,"Programación, bases de datos","Programación orientada a objetos más detallada, uso de frameworks, herramientas",Proporcionar temas que se usen en lo laboral,Comunicación,"Comunicación, talleres como casas abiertas donde las estudiantes pueden desarrollar fortaleza en expresarse",(RRA20) DESARROLLO DE SOFTWARE,2025,3.5,2.0,1,Julio,,,4.0,6.0,1.0,FIS (Sistemas),1,(RRA20) DESARROLLO DE SOFTWARE,0.5,23,1,23.0,23.0,0
180,23,Masculino,,3.0,1.0,5.0,5.0,1.0,1.0,5.0,,No,,,,,,,,,,0,0,,,,,,,,Si,De 6 meses a 1 año,Sí,"Habilidades computacionales nulas con respecto al mercado laboral actual. Redacción, comunicación oral y escrita, razonamiento crítico, etc. nulamente presente en el programa.",c) No la conozco,"Todas las materias tienen un enfoque obsoleto, enfocado en el siglo pasado. Los itinerarios son los únicos interesantes pero deberían ampliarse","Python, git, sql, machine learning, redes neuronales, data science, estadística bayesiana, fotónica, espectroscopía, manejo de equipos de laboratorio avanzados (los laboratorios están vacíos excepto el de materiales).","Cambiar de personal, hacer un cambio generacional de profesores, cambiar los pensum a temas más relevantes para la actualidad, proponer proyectos de investigación que busquen generar impacto en la sociedad, hacer colaboración con instituciones fuera del país, invertir en los laboratorios de investigación.","Trabajo en grupo, networking, comunicación efectiva, autoconfianza, liderazgo. Los profesores dan mal ejemplo sobre la ética de trabajo.",Todas las anteriores.,(RRA20) FÍSICA,2025,5.0,1.0,0,Julio,,,6.0,inf,0.0,FC (Ciencias),0,(RRA20) FÍSICA,0.0,23,1,23.0,23.0,0
181,24,Femenino,,4.0,5.0,5.0,5.0,5.0,5.0,5.0,,No,,,,,,,,,,0,0,,,,,,,,Si,Menos de 6 meses,Sí,No ponen de prioridad en el programa de estudios el tiempo para cumplir con prácticas pre-profesionales fuera de la institución.,"a) Sí, la he utilizado para postularme a vacantes","Gestión de procesos de calidad, Ingeniería financiera, Modelado y control automático y Mecánica de fluidos,.","TICs, programación orientada, sistemas de gestión integrados.",Mejorar la estructuración de horarios para realizar practicas fuera de la institución.,"Comunicación asertiva, liderazgo, trabajo en equipo.","Inteligencia emocional, es necesario entender como reaccionan las personas en especial en entornos profesionales dinámicos y colaborativos, y no hay mejor manera que iniciar a implementarlo con tus futuros colegas.",(RRA20) INGENIERÍA QUÍMICA,2025,5.0,4.0,0,Julio,,,6.0,inf,0.0,FIQ (Química),0,(RRA20) INGENIERÍA QUÍMICA,0.0,24,1,24.0,24.0,0
182,25,Masculino,,4.0,4.0,3.0,3.0,4.0,3.0,4.0,,No,,,,,,,,,,0,0,,,,,,,,Si,Menos de 6 meses,No,,"a) Sí, la he utilizado para postularme a vacantes","Electrónica de Potencia, Sistemas de Control automático, PLCs, Sistemas SCADA","Habilidades Blandas, liderazgo, Gestión.",Mayor contacto con la industria y la actualización tecnológica.,"Liderazgo, Ventas y Gestión de proyectos y personal.","La habilidad de vender ideas u a uno mismo, mayor preparación para entrevistas laborales.",(RRA20) ELECTRÓNICA Y AUTOMATIZACIÓN,2025,3.0,4.0,0,Julio,,,6.0,inf,0.0,FIE (Eléctrica/Electrónica),0,(RRA20) ELECTRÓNICA Y AUTOMATIZACIÓN,0.0,25,1,25.0,25.0,0
183,24,Masculino,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,Si,Ecuador,Privado,Tiempo completo,Entre 6 meses y 1 año,3.0,Si,Parcialmente,Sí,No,0,0,No,Sí,Sí,No,,Si,De $461 a $1000,,,,,"d) No, pero me gustaría conocer más sobre cómo acceder","Redes de computadoras, seguridad informática","TICS, IA",Mejorar los temas impartidos,"Comunicación, socialización","Gestión de proyectos: para asumir roles de liderazgo y tener una buena comunicación  ya que permite coordinar esfuerzos, resolver conflictos y motivar al equipo.",(RRA20) COMPUTACIÓN,2025,4.0,4.0,1,Julio,,,2.0,4.0,1.0,FIS (Sistemas),1,(RRA20) COMPUTACIÓN,0.0,24,1,24.0,24.0,0
184,23,Masculino,,4.0,4.0,3.0,5.0,4.0,4.0,5.0,,No,,,,,,,,,,0,0,,,,,,,,Si,Menos de 6 meses,No estoy seguro/a,,c) No la conozco,"Transferencia de calor, energías renovables, métodos numéricos, termodinámica",Mayor formación en de habilidades blandas,Que algunos profesores enseñen con mayor ética,El liderazgo,"Liderazgo, manejo y dirección de proyectos",(RRA20) MECÁNICA,2025,4.0,4.0,0,Julio,,,6.0,inf,0.0,FIM (Mecánica),0,(RRA20) MECÁNICA,0.0,23,1,23.0,23.0,0
185,24,Femenino,,5.0,3.0,5.0,5.0,5.0,5.0,5.0,,No,,,,,,,,,,0,0,,,,,,,,Si,Menos de 6 meses,No estoy seguro/a,,"d) No, pero me gustaría conocer más sobre cómo acceder",Gestión de sistemas productivos,Laboratorios,Incluir laboratorios y brindar educación en nuevas herramientas como power bi,Comunicación efectiva,"Comunicación efectiva, la aplicaría mediante exposiciones formales",(RRA20) INGENIERÍA DE LA PRODUCCIÓN,2025,5.0,3.0,0,Julio,,,6.0,inf,0.0,FCA (Ciencias Admin.),0,(RRA20) INGENIERÍA DE LA PRODUCCIÓN,0.0,24,1,24.0,24.0,0
186,25,Masculino,,4.0,5.0,5.0,5.0,5.0,4.0,5.0,,Si,Ecuador,Público,Tiempo completo,Menos de 6 meses,2.0,Si,Parcialmente,No,No,0,0,No,No,No,Sí,,Si,De $1001 a $1500,,,,,c) No la conozco,"Calidad de energía eléctrica, dinámica de máquinas eléctricas, distribución de redes eléctricas, alto voltaje, máquinas eléctricas, estabilidad de sistemas eléctricos de potencia, estudio en estado estacionario de Sep, protecciones eléctricas","Diseño de subestaciones, manejo de Autocad mediante proyectos, conocimiento acerca de normativas, leyes y regulaciones más representativas",Convenios con instituciones privadas para realizar pasantías,Comunicación activa,La comunicación es fundamental en el ámbito laboral por lo que se requiere para poder transmitir una idea clara a las demás personas,(RRA20) ELECTRICIDAD,2025,5.0,5.0,1,Julio,,,4.0,6.0,1.0,FIE (Eléctrica/Electrónica),1,(RRA20) ELECTRICIDAD,0.0,25,1,25.0,25.0,0
187,24,Femenino,,2.0,2.0,2.0,3.0,4.0,4.0,5.0,,Si,Ecuador,Privado,Tiempo completo,Menos de 6 meses,3.0,Si,No,No,No,0,0,No,No,No,No,Ninguna,Si,De $461 a $1000,,,,,"a) Sí, la he utilizado para postularme a vacantes",Estructuras,Vías,Mejorar la malla,Hablar en público,Hablé mejor el inglés,(RRA20) INGENIERÍA CIVIL,2025,2.5,2.0,1,Julio,,,4.0,6.0,1.0,FIC (Civil),1,(RRA20) INGENIERÍA CIVIL,0.0,24,1,24.0,24.0,0
188,24,Femenino,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,Si,Ecuador,Privado,Tiempo completo,Entre 1 y 2 años,4.0,Si,Si,No,No,0,0,No,No,No,Sí,,Si,De $461 a $1000,,,,,"d) No, pero me gustaría conocer más sobre cómo acceder",Energías Renovables,TICS,Práctica en laboratorio,Resolución de problema y comunicación efectiva,Resolución de problemas,(RRA20) ELECTRICIDAD,2025,4.0,4.0,1,Julio,,,1.0,2.0,1.0,FIE (Eléctrica/Electrónica),1,(RRA20) ELECTRICIDAD,0.0,24,1,24.0,24.0,0
189,28,Masculino,,5.0,3.0,3.0,3.0,5.0,5.0,5.0,,Si,Ecuador,Privado,Tiempo completo,Entre 6 meses y 1 año,3.0,Si,Parcialmente,Sí,Sí,1,1,Sí,No,Sí,No,,Si,De $1001 a $1500,,,,,"a) Sí, la he utilizado para postularme a vacantes","Estadística, muestreo, econometria 1, econometria 2, econometria aplicada, riesgos financieros, instrumentos y derivados, teoría de juegos, operativa, gestión organizacional, gestión de procesos,","Programación de python, trabajo con modelos de IA y machine learning, riesgos financieros",Que nos ayuden a desarrollar las habilidades blandas y que podas cuestinar lo que nos enseñan,Comunicación efectiva,"Comunicación profesional para dar a conocer cuales son tus avances, proyectos, ayudarte en las entrevistas",(RRA20) ECONOMÍA,2025,3.0,3.0,1,Julio,,,2.0,4.0,1.0,FC (Ciencias),1,(RRA20) ECONOMÍA,1.0,28,1,28.0,28.0,0
190,23,Masculino,,2.0,3.0,5.0,3.0,3.0,2.0,5.0,,No,,,,,,,,,,0,0,,,,,,,,Si,Menos de 6 meses,No estoy seguro/a,,"d) No, pero me gustaría conocer más sobre cómo acceder","Física experimental, Física de materiales, Programación científica, Mecánica Estadística",Historia de la física,Seguir desarrollando el programa de estudios para que las asignaturas se conecten mejor,Trabajo en equipo,"Trabajo interdisciplinario, para innovaciones",(RRA20) FÍSICA,2025,4.0,2.0,0,Julio,,,6.0,inf,0.0,FC (Ciencias),0,(RRA20) FÍSICA,0.0,23,1,23.0,23.0,0
191,24,Masculino,,3.0,2.0,5.0,4.0,3.0,5.0,5.0,,No,,,,,,,,,,0,0,,,,,,,,Si,Menos de 6 meses,Sí,Prácticas en campo y residencia amazónica,"a) Sí, la he utilizado para postularme a vacantes",Yacimientos 2 y simulación,"CCUS, fracturamiento, estimulación",Actualizar las tecnologías en levantamiento artificial,Comunicación efectiva,Team leader,(RRA20) PETRÓLEOS,2025,4.5,2.0,0,Julio,,,6.0,inf,0.0,FGP (Geología/Petróleos),0,(RRA20) PETRÓLEOS,0.0,24,1,24.0,24.0,0
192,25,Masculino,,3.0,3.0,5.0,5.0,5.0,5.0,5.0,,Si,Ecuador,Emprendimiento propio,Tiempo completo,Menos de 6 meses,3.0,Si,Parcialmente,No,No,1,1,No,No,Sí,No,,No,De $461 a $1000,,,,,"b) Sí, pero no la he utilizado",Mantenimiento. Energías renovables. Diseño.,"Excel. Autocad e inventor, no dependiente del profesor.",Más prácticas.,Relaciones con la gente,Comunicación,(RRA20) MECÁNICA,2025,5.0,3.0,1,Julio,,,4.0,6.0,1.0,FIM (Mecánica),1,(RRA20) MECÁNICA,1.0,25,1,25.0,25.0,0
193,24,Masculino,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,No,,,,,,,,,,0,0,,,,,,,,Si,De 6 meses a 1 año,No estoy seguro/a,,"b) Sí, pero no la he utilizado",Electrodinámica,No se,Dejen de cubrir a los profesores solo por su nombramiento.,No se,No se,(RRA20) FÍSICA,2025,5.0,5.0,0,Julio,,,6.0,inf,0.0,FC (Ciencias),0,(RRA20) FÍSICA,0.0,24,1,24.0,24.0,0
194,24,Masculino,,4.0,1.0,2.0,2.0,3.0,2.0,5.0,,No,,,,,,,,,,0,0,,,,,,,,Si,Menos de 6 meses,No estoy seguro/a,,"d) No, pero me gustaría conocer más sobre cómo acceder","Instrumentación industrial, sistemas embebidos",Inteligencia artificial,Mantener la carrera en un enfoque a las tecnologías más actuales que se encuentran en las empresas,"La comunicación en todos sus aspectos,",Comunicación efectiva ya que en el campo externo es importante saber comunicar las ideas y defender los puntos de vista frente a personas que no manejan el mismo conocimiento técnico,(RRA20) ELECTRÓNICA Y AUTOMATIZACIÓN,2025,2.0,1.0,0,Julio,,,6.0,inf,0.0,FIE (Eléctrica/Electrónica),0,(RRA20) ELECTRÓNICA Y AUTOMATIZACIÓN,0.0,24,1,24.0,24.0,0
195,24,Masculino,,5.0,4.0,4.0,4.0,5.0,5.0,5.0,,No,,,,,,,,,,0,0,,,,,,,,Si,Menos de 6 meses,Sí,Dificultad en las materias de últimos semestres que impiden buscar un trabajo a tiempo parcial y con esto ganar experiencia.,"a) Sí, la he utilizado para postularme a vacantes","Electrónica de potencia, conversores estáticos, control industrial, plcs, redes industriales, sistemas scada, máquinas eléctricas.",Energías renovables,Que en los últimos semestres se tengan materias menos complejas y con esto poder tener tiempo para conseguir un empleo a tiempo parcial y poder ganar experiencia en el campo laboral.,"Comunicación entre compañeros, con la ayuda de giras y demás actividades.","Trabajo en equipo, no sé lo hace porque en su mayoría las actividades son individuales.",(RRA20) ELECTRÓNICA Y AUTOMATIZACIÓN,2025,4.0,4.0,0,Julio,,,6.0,inf,0.0,FIE (Eléctrica/Electrónica),0,(RRA20) ELECTRÓNICA Y AUTOMATIZACIÓN,0.0,24,1,24.0,24.0,0
196,23,Masculino,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,No,,,,,,,,,,0,0,,,,,,,,Si,Menos de 6 meses,No estoy seguro/a,,"b) Sí, pero no la he utilizado","Aplicaciones Web, Interacción Humano Computador, Construcción del Software, Programación I, Programación II, Desarollo de Software Seguro.",Ejemplos más enfocados en un entorno empresarial.,Enfocarlo más a el entorno empresarial/laboral.,"Delegación, inteligencia emocional","Inteligencia emocional. Agregaría la inteligencia emocional para gestionar mejor mis emociones y relaciones, mejorando así mi desempeño profesional y liderazgo.",(RRA20) SOFTWARE,2025,4.0,4.0,0,Julio,,,6.0,inf,0.0,FIS (Sistemas),0,(RRA20) SOFTWARE,0.0,23,1,23.0,23.0,0
197,25,Masculino,,3.0,3.0,4.0,3.0,4.0,4.0,3.0,,No,,,,,,,,,,0,0,,,,,,,,Si,Menos de 6 meses,No estoy seguro/a,,"a) Sí, la he utilizado para postularme a vacantes",Termodinámica,Las mismas materias pero llevadas a la nueva tecnología,"Dar clases sobre las nuevas tecnologías y técnicas, ya que la industria va mejorando",Liderazgo,La comunicación efectiva: para tener mayor eficiencia y seguridad en las operaciones,(RRA20) PETRÓLEOS,2025,3.5,3.0,0,Julio,,,6.0,inf,0.0,FGP (Geología/Petróleos),0,(RRA20) PETRÓLEOS,0.0,25,1,25.0,25.0,0
198,25,Masculino,,4.0,3.0,4.0,4.0,4.0,4.0,4.0,,No,,,,,,,,,,0,0,,,,,,,,Si,Menos de 6 meses,No,,"b) Sí, pero no la he utilizado",Últimos semestres,Lean manufacturing,Estar más actualizados,Gestion,Comunicación,(RRA20) INGENIERÍA DE LA PRODUCCIÓN,2025,4.0,3.0,0,Julio,,,6.0,inf,0.0,FCA (Ciencias Admin.),0,(RRA20) INGENIERÍA DE LA PRODUCCIÓN,0.0,25,1,25.0,25.0,0
199,30,Femenino,,3.0,3.0,3.0,3.0,4.0,3.0,5.0,,No,,,,,,,,,,0,0,,,,,,,,Si,Menos de 6 meses,No estoy seguro/a,,"d) No, pero me gustaría conocer más sobre cómo acceder","Física nuclear y de partículas, estado sólido, Física de materiales, física computacional, mecánica cuántica",No estoy segura,Ninguna,Adaptabilidad a distintas formas de trabajo,Adaptabilidad a distintas formas de trabajo,FISICA,2024,3.0,3.0,0,Julio,,,6.0,inf,0.0,FC (Ciencias),0,(RRA20) FÍSICA,0.0,30,1,30.0,30.0,0
200,24,Masculino,,4.0,3.0,3.0,4.0,4.0,3.0,4.0,,Si,Ecuador,Privado,Tiempo completo,Entre 6 meses y 1 año,4.0,Si,No,Sí,Sí,0,1,Sí,No,Sí,No,,Si,De $461 a $1000,,,,,"b) Sí, pero no la he utilizado",Estructuras de datos y algoritmls,Uso de git,"Mejorar los temas y enfoque de las materias de primeros niveles de la carrera, como lo es programación 1 y 2.",La comunicación,"La adaptabilidad, para buscar alternativas o mejores soluciones a problemas, evitando el estancamiento en soluciones ineficientes o inadecuadas.",(RRA20) SOFTWARE,2025,3.5,3.0,1,Julio,,,2.0,4.0,1.0,FIS (Sistemas),1,(RRA20) SOFTWARE,0.5,24,1,24.0,24.0,0
201,27,Masculino,,3.0,3.0,3.0,3.0,4.0,2.0,3.0,,No,,,,,,,,,,0,0,,,,,,,,Si,Menos de 6 meses,No estoy seguro/a,,"d) No, pero me gustaría conocer más sobre cómo acceder","Diseño de estructuras, soldaduda",IA,Que sea mas practica,Comunicación y liderazgo,Liderazgo,(RRA20) MECÁNICA,2025,3.0,2.0,0,Julio,,,6.0,inf,0.0,FIM (Mecánica),0,(RRA20) MECÁNICA,0.0,27,1,27.0,27.0,0
202,23,Femenino,,4.0,4.0,5.0,5.0,5.0,4.0,5.0,,No,,,,,,,,,,0,0,,,,,,,,Si,Menos de 6 meses,Sí,Experiencia,"b) Sí, pero no la he utilizado","Gestión de Calidad, Desechos Peligrosos, Desechos Comunes, Estudios de Impacto Ambiental, Gestión de Recursos Naturales,  Legislación Ambiental.","Huella de carbono, Huella hídrica, Sostenibilidad","Mejorar los laboratorios, las salidas técnicas","Comunicación gestión de recursos, liderazgo","Proactividad, es importante para desarrollarse en el ámbito laboral en cuanto a las actividades a realizarse",(RRA20) INGENIERÍA AMBIENTAL,2025,5.0,3.0,0,Julio,,,6.0,inf,0.0,FIC (Civil),0,(RRA20) INGENIERÍA AMBIENTAL,0.0,23,1,23.0,23.0,0
203,28,Femenino,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,Si,Ecuador,Privado,Tiempo completo,Entre 1 y 2 años,3.0,Si,No,Sí,Sí,1,1,Sí,Sí,Sí,Sí,,Si,De $1001 a $1500,,,,,c) No la conozco,"Estadística, programación, riesgo financiero",TiCS,El trato de los los profesores a los alumnos para no tener problemas de autoestima,Oratoria,Oratoria para desenvolverme mejor en el entorno laboral,INGENIERIA EN CIENCIAS ECONOMICAS Y FINANCIERAS,2024,4.0,4.0,1,Julio,,,1.0,2.0,1.0,FCA (Ciencias Admin.),1,(RRA20) ECONOMÍA,1.0,28,1,28.0,28.0,0
204,25,Masculino,,1.0,5.0,4.0,4.0,4.0,4.0,4.0,,Si,Ecuador,Privado,Tiempo completo,Menos de 6 meses,2.0,Si,No,Sí,Sí,1,0,No,No,No,No,,Si,De $461 a $1000,,,,,"b) Sí, pero no la he utilizado","SISTEMAS ELECTRICOS DE DISTRIBUCION, CENTRALES DE GENERACION, MAQUINAS ELECTRICAS, ESTABILIDAD DE SEP, OPERACION DE SEP","COMUNICACIÓN EFECTIVA, LIDERAZGO",INCLUIR MATERIAS Y EJERCICIOS CON DISEÑO DE PROYECTOS REALES INCLUYENDO NO SOLO FACTIBILIDAD TECNICA SINO TAMBIEN LO ECONÓMICO,COMUNICACION EFECTIVA,COMUNICACIÓN EFECTIVA ME PERMITE DAR A CONOCER DE MEJOR MANERA LA IDEA DE UN PROYECTO Y PODERLO EXPONER. DE ESTA MANERA TODOS LOS INTEGRANTES DEL EQUIPO ENTINDEN Y SE PUEDE REALIZAR UN MEJOR DESARROLLO DEL PROYECTO.,(RRA20) ELECTRICIDAD,2025,4.0,5.0,1,Julio,,,4.0,6.0,1.0,FIE (Eléctrica/Electrónica),1,(RRA20) ELECTRICIDAD,0.5,25,1,25.0,25.0,0
205,23,Masculino,,4.0,2.0,3.0,3.0,4.0,3.0,5.0,,No,,,,,,,,,,0,0,,,,,,,,Si,Menos de 6 meses,No estoy seguro/a,,"a) Sí, la he utilizado para postularme a vacantes","Gestion de proyectos, PLC, Redes industriales","Gestion del mantenimiento, inteligencia de negocio, Networking",Dar mas importancia a las habilidades blandas,"Negociacion, Storytelling, Liderazgo",Negociacion siento que no se logra hacer que los estudiantes expresen su competitividad laboral sobre otros universitarios,(RRA20) ELECTRÓNICA Y AUTOMATIZACIÓN,2025,3.0,1.0,0,Julio,,,6.0,inf,0.0,FIE (Eléctrica/Electrónica),0,(RRA20) ELECTRÓNICA Y AUTOMATIZACIÓN,0.0,23,1,23.0,23.0,0
206,28,Femenino,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,Si,Ecuador,Privado,Tiempo completo,Entre 1 y 2 años,3.0,Si,Si,Sí,No,0,1,No,No,Sí,No,,Si,De $461 a $1000,,,,,"d) No, pero me gustaría conocer más sobre cómo acceder","Econometría, estadística, finanzas, proyectos.","Herramientas digitales para la productividad, análisis de datos con Excel y Power BI, fundamentos de comercio electrónico, gestión de proyectos, normativa laboral y tributaria actualizada, prácticas éticas en entornos laborales, sostenibilidad empresarial, marketing digital estratégico.","Incluir más contenido práctico y actualizado acorde a las exigencias del mercado laboral, fomentar el uso de herramientas tecnológicas aplicadas al campo profesional, incorporar talleres sobre habilidades blandas como liderazgo, comunicación y trabajo en equipo, promover la vinculación con el sector empresarial mediante pasantías o proyectos reales.","Comunicación asertiva, liderazgo, manejo del estrés, resolución de conflictos, inteligencia emocional, adaptabilidad al cambio, proactividad y gestión del tiempo.","Si pudiera agregar una habilidad blanda a mi formación académica, sería la inteligencia emocional. En mi carrera profesional la aplicaría para mantener un ambiente de trabajo colaborativo, resolver conflictos de manera empática y liderar con mayor conciencia y equilibrio emocional.",INGENIERIA EN CIENCIAS ECONOMICAS Y FINANCIERAS,2024,5.0,4.0,1,Julio,,,1.0,2.0,1.0,FCA (Ciencias Admin.),1,(RRA20) ECONOMÍA,0.5,28,1,28.0,28.0,0
