,Edad,Genero,3. Evaluación de Habilidades Blandas,S5_Gestion_Proyectos,S1_Comunicacion_Esp,RAW_Jul_Liderazgo,RAW_Jul_Equipo,S2_Compromiso_Etico,S4_Resp_Social,S6_Aprendizaje_Digital,4. Inserción Laboral,TARGET_Evento,4.1.2 País:,4.1.3 ¿A qué tipo pertenece la institución en la que laboras?,4.1.4 Modalidad de trabajo:,TARGET_Tiempo,"4.1.6 En una escala del 1 al 4 donde 1 es totalmente sin relación, y 4 es totalmente con relación ¿Cómo calificas la correspondencia entre tu formación académica y tu trabajo actual?",4.1.7 ¿Consideras que la formación académica ha contribuido a un mejor desempeño en tu vida profesional / laboral?,"4.1.8 ¿Consideras que la formación en habilidades blandas (gestión, comunicación efectiva, liderazgo, trabajo en equipo, ética profesional, responsabilidad social, aprendizaje autónomo) recibida en la EPN fue suficiente para enfrentar los desafíos del entorno laboral?",UTILIDAD_S5_Gestion,UTILIDAD_S1_Comunicacion,TEMP_UTIL_Lid,TEMP_UTIL_Equ,UTILIDAD_S2_Etica,UTILIDAD_S4_Resp_Social,UTILIDAD_S6_Aprendizaje_Digital,4.1.9 ¿Qué habilidades blandas sientes que más te ayudaron en tu inserción laboral? [Todas las anteriores],4.1.9 ¿Qué habilidades blandas sientes que más te ayudaron en tu inserción laboral? [Otro],4.1.10 ¿Consideras que las prácticas preprofesionales y pasantías han contribuido a un mejor desempeño en tu vida profesional / laboral?,4.1.11 Rango salarial mensual (USD):,4.1.12 ¿Estas actualmente buscando trabajo?,4.1.13 ¿Por cuanto tiempo has estado buscando trabajo?,4.1.14 ¿Ha identificado alguna brecha o déficit en su formación académica que considere ha dificultado su inserción laboral?,TXT_Brecha_Formacion,4.2 ¿Conoces o has utilizado la Bolsa de Empleo de la EPN?,TXT_Hard_Skills,"6.2 ¿Qué temas/áreas/contenido consideras que debieron incluirse en tu proceso de formación? Para completar esta pregunta realizarlo separando por comas: Ejemplo: Importancia de las buenas prácticas de TICS, TICS, Cobit",6.3 ¿Qué recomendaciones darías para mejorar la formación en tu carrera?,6.4 ¿Qué habilidades blandas crees que debieron ser fortalecidas mejor durante tu formación?,"6.5 Si pudieras agregar una habilidad blanda a tu formación académica, ¿cuál sería y cómo la aplicarías en tu carrera profesional?",carrera,anioGraduacion,S3_Trabajo_Equipo_Liderazgo,S7_Ingles,UTILIDAD_S3_Trabajo_Equipo_Liderazgo,Cohorte,4.1.1 Institución/Empresa donde trabajas:,6. Retroalimentación Abierta,T_Lower,T_Upper,Event,Facultad,TARGET_Evento_Num,carrera_homologada,Utilidad_HB_Promedio,Edad_raw,Edad_in_scope,Edad_model,Edad_model_imputed,Edad_oos_flag
10,29,Masculino,,3.0,3.0,3.0,4.0,4.0,3.0,5.0,,Si,Ecuador,Público,Tiempo completo,Menos de 6 meses,3.0,Si,Parcialmente,Sí,No,1,0,No,No,No,No,,Si,De $1001 a $1500,,,,,"d) No, pero me gustaría conocer más sobre cómo acceder","Ingeniería en sofware, Programación web, Datamining, Business intelligence","IA, analitica de datos, manejo de datos masivos, experiencia de usuario",Estar a la vanguardia en las nuevas tecnologias en general,La interración con el campo laboral,Manejo y control del tiempo en los proyectos para manejar entragas,(RRA20) COMPUTACIÓN,2025,3.5,2.0,1,Julio,,,4.0,6.0,1.0,FIS (Sistemas),1,(RRA20) COMPUTACIÓN,0.5,29,1,29.0,29.0,0
11,23,Masculino,,3.0,3.0,3.0,3.0,4.0,3.0,5.0,,Si,Ecuador,Público,Tiempo completo,Menos de 6 meses,4.0,Si,Parcialmente,No,Sí,0,1,Sí,No,Sí,No,,Si,De $461 a $1000,,,,,"b) Sí, pero no la he utilizado","Análisis en espacios de Banach y de Hilbert, Teoría de operadores lineales y acotados, Introducción a la teoría de Distribuciones",Optativas para complementar las materias,Realizar intercambios estudiantiles,"Liderazgo, comunicación efectiva",Inteligencia emocional,(RRA20) MATEMÁTICA,2025,3.0,3.0,1,Julio,,,4.0,6.0,1.0,FC (Ciencias),1,(RRA20) MATEMÁTICA,0.5,23,1,23.0,23.0,0
12,26,Masculino,,4.0,3.0,5.0,5.0,5.0,5.0,5.0,,No,,,,,,,,,,0,0,,,,,,,,Si,Menos de 6 meses,No estoy seguro/a,,"d) No, pero me gustaría conocer más sobre cómo acceder","Electrónica analogica, Control y sistemas HMI, Instrumentacion",Finanzas por ejemplo,Mas horas de clase para tener mas temas y prácticas,Liderazgo,Responsabilidad,(RRA20) ELECTROMECÁNICA,2025,5.0,3.0,0,Julio,,,6.0,inf,0.0,FIM (Mecánica),0,(RRA20) ELECTROMECÁNICA,0.0,26,1,26.0,26.0,0
13,24,Masculino,,3.0,3.0,3.0,4.0,4.0,4.0,4.0,,No,,,,,,,,,,0,0,,,,,,,,Si,Menos de 6 meses,No estoy seguro/a,,"a) Sí, la he utilizado para postularme a vacantes",Programación Orientada a Objetos,Metodologías,Mejorar profesores o programas asociaciones con certificaciones prácticas,La comunicación certera,Comunicación certera,(RRA20) SOFTWARE,2025,3.5,3.0,0,Julio,,,6.0,inf,0.0,FIS (Sistemas),0,(RRA20) SOFTWARE,0.0,24,1,24.0,24.0,0
14,23,Masculino,,3.0,3.0,3.0,3.0,5.0,4.0,4.0,,No,,,,,,,,,,0,0,,,,,,,,Si,Menos de 6 meses,Sí,Falta de equipos,"d) No, pero me gustaría conocer más sobre cómo acceder",TCP/IP,Programación,Mejor preparación de ciertos docentes y más equipos,General,General,(RRA20) REDES Y TELECOMUNICACIONES,2025,3.0,3.0,0,Julio,,,6.0,inf,0.0,FIE (Eléctrica/Electrónica),0,(RRA20) REDES Y TELECOMUNICACIONES,0.0,23,1,23.0,23.0,0
15,24,Masculino,,3.0,3.0,4.0,4.0,4.0,3.0,3.0,,No,,,,,,,,,,0,0,,,,,,,,Si,Menos de 6 meses,Sí,Experiencia laboral,"a) Sí, la he utilizado para postularme a vacantes","Termodinámica, transferencia de calor, sistemas de vapor, control de sistemas mecánicos",Manejo de normativas ISO,Rediseñar la malla de acuerdo a los temas o campos más importantes en la industria.,Liderazgo,Manejo de personal es muy importante a la hora de trabar con equipos de trabajo al dirigir un proyecto.,(RRA20) MECÁNICA,2025,4.0,3.0,0,Julio,,,6.0,inf,0.0,FIM (Mecánica),0,(RRA20) MECÁNICA,0.0,24,1,24.0,24.0,0
16,25,Masculino,,2.0,5.0,4.0,5.0,5.0,5.0,5.0,,No,,,,,,,,,,0,0,,,,,,,,Si,Menos de 6 meses,Sí,"Se evidenció una profunda brecha y un marcado déficit en áreas clave de la carrera, como Minería y Petróleos. Los docentes responsables de estas asignaturas en aquel entonces carecían tanto de experiencia práctica como de las habilidades pedagógicas necesarias para su adecuada enseñanza. Además, no contaban con vínculos directos con la industria, un aspecto fundamental para conectar a los estudiantes con el ámbito laboral y profesional de la carrera","d) No, pero me gustaría conocer más sobre cómo acceder","Yacimientos minerales y metalogenia, Geología del petróleo, Vulcanologia, Geotecnia","Geologia económica, Derecho minero, Vinculación con la industria minera y petrolera",Mejorar la conexión con las industrias mineras y petroles que faciliten las pasantias para ganar experiencia y tener mas oportunidades en el campo laborar,Proactividad y liderazgo,"Una habilidad blanda que añadiría es la inteligencia emocional, ya que permite gestionar mejor el estrés, liderar equipos y comunicarse de forma empática. En mi carrera profesional la aplicaría para tomar decisiones acertadas en situaciones críticas, coordinar eficazmente con colegas y comunicar resultados técnicos a la comunidad de manera clara y responsable.",(RRA20) GEOLOGÍA,2025,4.5,5.0,0,Julio,,,6.0,inf,0.0,FGP (Geología/Petróleos),0,(RRA20) GEOLOGÍA,0.0,25,1,25.0,25.0,0
17,23,Masculino,,2.0,3.0,4.0,4.0,4.0,3.0,4.0,,Si,Ecuador,Privado,Tiempo completo,Entre 6 meses y 1 año,4.0,No,Parcialmente,No,No,0,1,No,Sí,No,No,,Si,De $461 a $1000,,,,,c) No la conozco,"Software Seguro, Interaccion Humano Computador, Juegos Interactivos, Aplicaciones Web, Aplicaciones Moviles, Sistemas Embebidos",Contenido y tecnologias actuales,"Mejorar la calidad de docencia y que las materias sean verdaderamente relevantes, actuales e interesantes para los estudiantes",comunicación efectiva,Liderazgo,(RRA20) SOFTWARE,2025,4.0,3.0,1,Julio,,,2.0,4.0,1.0,FIS (Sistemas),1,(RRA20) SOFTWARE,0.5,23,1,23.0,23.0,0
18,25,Masculino,,2.0,2.0,4.0,3.0,4.0,4.0,5.0,,Si,Ecuador,Privado,Tiempo completo,Entre 6 meses y 1 año,3.0,Si,No,Sí,Sí,1,0,No,No,No,No,,Si,De $461 a $1000,,,,,"b) Sí, pero no la he utilizado",Desarrollo de Aplicaciones Web y Móviles,Más temas actuales y vanguardistas,Dejar de enseñar tecnologías obsoletas,Comunicación profesional,Speaking,(RRA20) TECNOLOGÍAS DE LA INFORMACIÓN,2025,3.5,2.0,1,Julio,,,2.0,4.0,1.0,FIS (Sistemas),1,(RRA20) TECNOLOGÍAS DE LA INFORMACIÓN,0.5,25,1,25.0,25.0,0
19,27,Femenino,,3.0,4.0,4.0,4.0,4.0,4.0,5.0,,Si,Ecuador,Privado,Tiempo completo,Entre 6 meses y 1 año,2.0,Si,Si,No,Sí,0,1,Sí,No,Sí,No,,Si,Hasta $460,,,,,"a) Sí, la he utilizado para postularme a vacantes",Econometria,Mayor desarrollo de programación en distintos lenguajes,Mayor empatia de los profesores,Escritura de todo tipo de informes,Habilidades de escritura,(RRA20) ECONOMÍA,2025,4.0,4.0,1,Julio,,,2.0,4.0,1.0,FC (Ciencias),1,(RRA20) ECONOMÍA,0.5,27,1,27.0,27.0,0
