cand,cv_mean,cv_std,best_iter_cv_median
15,0.6448732477782646,0.04414419966723021,771
17,0.6444321158551258,0.04381515645037725,771
14,0.6435871906863073,0.042848676528880705,701
16,0.6434311140257678,0.0412956170003212,594
18,0.6434204331267414,0.0460840695554693,720
10,0.64288098900362,0.039618132397366855,522
13,0.6428700789049654,0.04143860463940262,545
12,0.6428665926506671,0.045595485873329025,670
5,0.6426866965700125,0.04463919694251971,773
11,0.6424222597015252,0.044582543658838396,690
6,0.6423641673961543,0.0445246188938347,771
7,0.6421261097706912,0.043897932318446964,584
8,0.6417587927012172,0.04396924988041805,764
3,0.6417088259487922,0.04556828019870475,720
4,0.6415361825836963,0.039962086843387465,518
2,0.641307732269543,0.04507605974351163,718
9,0.6409996514086462,0.04542602091351064,881
1,0.6407092253546839,0.04146397988678939,509
